year,month,day,country,event
2010,11,06,Philippines, Mt. Bulusan Volcano 
2010,11,03,Philippines, Floods and Landslides 
2010,10,26,Indonesia, Sumatra Earthquakes and Tsunami 
2010,10,26,Indonesia, Mt. Merapi Volcano 
2010,10,22,Myanmar, Tropical Cyclone Giri 
2010,10,16,Typhoon Megi ,NA
2010,10,04,Viet Nam, Floods 
2010,08,29,Indonesia, Mt. Sinabung Volcano 
2010,08,25,Typhoon Mindulle ,NA
2010,08,17,Malaysia, Floods 
2010,08,09,Philippines, Tropical Storm Dianmu 
2010,08,03,Thailand, Floods 
2010,07,19,Typhoon Chanthu ,NA
2010,07,13,Typhoon Conson ,NA
2010,06,16,Myanmar, Floods and Landslides 
2010,06,16,Indonesia, Papua 
2010,05,28,Philippines, Floods and Landslides 
2010,05,13,Viet Nam, Floods 
2010,04,08,Indonesia, Floods 
2010,04,07,Indonesia, Earthquakes 
2010,01,01,Philippines, Landslide 
2009,12,15,Philippines, Mayon Volcano 
2009,11,23,Malaysia, Floods 
2009,11,09,Indonesia, Floods and Landslides 
2009,11,09,Thailand, Floods 
2009,11,05,Philippines, Floods and Landslides 
2009,10,31,Typhoon Mirinae ,NA
2009,10,22,Philippines, Typhoon Lupit 
2009,10,02,Typhoon Parma ,NA
2009,09,30,Indonesia, Sumatra Earthquake 
2009,09,26,Typhoon Ketsana ,NA
2009,09,22,Myanmar, Earthquake 
2009,09,21,Philippines, Flash Floods 
2009,09,19,Philippines, Earthquake 
2009,09,15,Indonesia, Flash Floods 
2009,09,13,Typhoon Koppu ,NA
2009,09,10,Tropical Storm Mujigae ,NA
2009,09,02,Indonesia, Earthquake 
2009,08,07,Typhoon Morakot ,NA
2009,07,17,Philippines, Tropical Cyclone Molave 
2009,07,10,Philippines, Tropical Storm Soudelor 
2009,07,05,Viet Nam, Floods and Landslides 
2009,07,04,Myanmar, Floods and Landslides 
2009,06,23,Philippines, Tropical Storm Feria 
2009,05,27,Thailand, Floods and Flash Floods 
2009,05,18,Philippines, Floods and Landslides 
2009,05,08,Philippines, Typhoon Chan
2009,05,02,Philippines, Typhoon Dante (Kujira) 
2009,04,24,Influenza A (H1N1) Pandemic ,NA
2009,03,27,Indonesia, Flash Floods 
2009,02,11,Indonesia, Earthquake in North Sulawesi 
2009,01,27,Thailand, Drought 
2009,01,10,Philippines, Floods and Landslides 
2009,01,04,Indonesia, Earthquake 
2009,01,03,Philippines, Tropical Depression Auring 
2008,12,27,Philippines, Landslides 
2008,12,25,Thailand, Floods 
2008,12,12,Thailand, Cold Wave 
2008,12,06,Malaysia, Floods and Landslides 
2008,11,21,Philippines, Flash Floods 
2008,11,18,Viet Nam, Tropical Storm Noul 
2008,11,16,Indonesia, Earthquake 
2008,11,14,Indonesia, Landslide 
2008,11,08,Tropical Storm Maysak ,NA
2008,10,27,Indonesia, Floods 
2008,10,20,Viet Nam, Floods 
2008,10,01,Tropical Storm Higos ,NA
2008,09,29,Typhoon Mekkhala ,NA
2008,09,21,Typhoon Hagupit ,NA
2008,09,14,Typhoon Sinlaku ,NA
2008,09,08,Philippines, Floods and Landslides 
2008,08,19,Typhoon Nuri ,NA
2008,08,06,Tropical Storm Kammuri ,NA
2008,07,27,Typhoon Fung,NA
2008,07,16,Typhoon Kalmaegi ,NA
2008,07,15,Philippines, Ferry Disaster/Toxic Cargo 
2008,06,20,South East Asia, Typhoon Fengshen 
2008,06,06,Philippines, Flash Floods 
2008,05,18,Philippines, Tropical Cyclone Halong 
2008,05,15,Philippines, Flash Floods 
2008,05,02,Myanmar, Tropical Cyclone Nargis 
2008,05,01,Southeast Asia, Floods 
2008,02,20,Indonesia, Earthquake 
2008,02,19,Philippines, Floods and Landslides 
2007,12,26,Indonesia, Floods and Landslides 
2007,12,10,Malaysia, Floods 
2007,11,26,Indonesia, Sumbawa Earthquake 
2007,11,20,Philippines, Floods and Landslides 
2007,11,09,Thailand, Floods 
2007,10,17,Indonesia, Mt. Kelud Volcano 
2007,10,16,Philippines, Mudslide 
2007,09,29,Typhoon Lekima ,NA
2007,09,12,Indonesia, Earthquake 
2007,08,20,Indonesia, Volcano Karangetang 
2007,08,20,Typhoon Sepat ,NA
2007,08,08,Philippines, Floods and Landslides 
2007,08,06,Viet Nam, Floods 
2007,07,23,Indonesia, Floods and Landslides 
2007,07,09,Indonesia, Volcanic Eruption Mt. Gamkonora 
2007,06,19,South Asia, Floods 
2007,06,11,Bangladesh/Myanmar, Floods and Landslides 
2007,05,15,Bangladesh, Cyclone 
2007,03,06,Indonesia, Earthquake 
2007,03,03,Indonesia, Landslides 
2007,02,03,Indonesia, Floods 
2007,01,21,Indonesia, Northern Molucca Sea Earthquake 
2007,01,03,Philippines, Floods and Landslides 
2006,12,24,Indonesia, Floods 
2006,12,20,Malaysia, Floods 
2006,12,18,Indonesia, Aceh Earthquake 
2006,12,18,Indonesia, North and West Sumatra Earthquake 
2006,12,15,Indonesia, Landslide 
2006,12,09,Philippines, Typhoon Utor 
2006,12,01,Southeast Asia, Typhoon Durian 
2006,11,23,Indonesia, Sidoarjo mudflow and gas pipe explosion 
2006,11,12,Southeast Asia, Typhoon Chebi 
2006,10,30,Southeast Asia, Typhoon Cimaron 
2006,09,28,Southeast Asia, Typhoon Xangsane 
2006,08,29,Cambodia, Floods 
2006,08,28,Philippines, Guimaras Oil Spill – Aug 2006
2006,08,25,Thailand, Floods 
2006,08,25,Indonesia, Fires and Haze 
2006,08,14,Philippines, Mount Mayon Volcano 
2006,07,17,Indonesia, West Java Earthquake and Tsunami 
2006,06,21,Indonesia, Flash Floods and Landslides 
2006,05,27,Indonesia, Earthquake 
2006,05,24,Thailand, Floods 
2006,05,13,Typhoon Chanchu ,NA
2006,05,04,Myanmar, Cyclone Mala 
2006,04,21,Indonesia, Flash Floods and Landslides 
2006,04,19,Indonesia, Mt. Merapi Volcano 
2006,03,16,Indonesia, Earthquake 
2006,02,23,Indonesia, Floods and Landslides 
2006,02,14,Philippines, Floods and Landslides 
2006,01,04,Indonesia, Flash Floods and Landslides 
2005,12,27,Thailand, Floods 
2005,12,08,Philippines, Landslides and Floods 
2005,10,27,Viet Nam, Floods 
2005,10,19,Indonesia, Landslides 
2005,09,21,Typhoon Damrey ,NA
2005,09,14,Myanmar, Floods 
2005,09,05,Indonesia, Landslide 
2005,08,31,Thailand, Floods 
2005,08,16,Indonesia, Fires 
2005,04,26,Indonesia, Flash Floods 
2005,04,10,Indonesia, Mentawai Earthquake 
2005,03,28,Indonesia, Earthquake 
2005,01,24,Indonesia, Sulawesi Earthquake 
2004,12,26,South Asia, Earthquake and Tsunami 
2004,11,26,Indonesia, Papua Earthquake 
2004,11,25,Southeast Asia, Typhoons and Tropical Storm 
2004,11,15,Indonesia, Alor Earthquake 
2004,09,04,Indonesia, Volcanic Eruption Mt. Egon 
2004,08,26,East and South Asia, Typhoon Aere and Typhoon Chaba 
2004,07,23,Viet Nam, Floods 
2004,06,08,Indonesia, Volcanic Activity Mt. Awu 
2004,05,27,Myanmar, Storm 
