country_name,country_code,year,sec_school_enroll
Brunei Darussalam,BRN,1970,53.9395408630371
Brunei Darussalam,BRN,1971,55.0727996826172
Brunei Darussalam,BRN,1972,57.2652587890625
Brunei Darussalam,BRN,1973,57.0430488586426
Brunei Darussalam,BRN,1974,57.5943489074707
Brunei Darussalam,BRN,1975,59.5493316650391
Brunei Darussalam,BRN,1976,61.0934410095215
Brunei Darussalam,BRN,1977,58.8267707824707
Brunei Darussalam,BRN,1978,58.7855987548828
Brunei Darussalam,BRN,1979,59.6581115722656
Brunei Darussalam,BRN,1980,61.0722007751465
Brunei Darussalam,BRN,1981,61.7599296569824
Brunei Darussalam,BRN,1982,63.4685096740723
Brunei Darussalam,BRN,1983,65.9173583984375
Brunei Darussalam,BRN,1984,63.9403800964355
Brunei Darussalam,BRN,1985,63.590030670166
Brunei Darussalam,BRN,1986,60.7707481384277
Brunei Darussalam,BRN,1987,NA
Brunei Darussalam,BRN,1988,NA
Brunei Darussalam,BRN,1989,NA
Brunei Darussalam,BRN,1990,NA
Brunei Darussalam,BRN,1991,73.195671081543
Brunei Darussalam,BRN,1992,73.8998718261719
Brunei Darussalam,BRN,1993,75.7966613769531
Brunei Darussalam,BRN,1994,76.2749481201172
Brunei Darussalam,BRN,1995,NA
Brunei Darussalam,BRN,1996,NA
Brunei Darussalam,BRN,1997,NA
Brunei Darussalam,BRN,1998,81.0034027099609
Brunei Darussalam,BRN,1999,84.2143936157227
Brunei Darussalam,BRN,2000,84.6492309570313
Brunei Darussalam,BRN,2001,85.0624389648438
Brunei Darussalam,BRN,2002,86.541862487793
Brunei Darussalam,BRN,2003,88.374153137207
Brunei Darussalam,BRN,2004,92.80322265625
Brunei Darussalam,BRN,2005,96.587532043457
Indonesia,IDN,1970,18.2168502807617
Indonesia,IDN,1971,18.5809593200684
Indonesia,IDN,1972,18.6744709014893
Indonesia,IDN,1973,19.0009498596191
Indonesia,IDN,1974,19.5795993804932
Indonesia,IDN,1975,21.0766296386719
Indonesia,IDN,1976,21.8481693267822
Indonesia,IDN,1977,22.5908699035645
Indonesia,IDN,1978,24.0280990600586
Indonesia,IDN,1979,NA
Indonesia,IDN,1980,NA
Indonesia,IDN,1981,28.3557796478271
Indonesia,IDN,1982,30.5354404449463
Indonesia,IDN,1983,34.0479583740234
Indonesia,IDN,1984,34.3006210327148
Indonesia,IDN,1985,NA
Indonesia,IDN,1986,41.8992500305176
Indonesia,IDN,1987,47.3943405151367
Indonesia,IDN,1988,49.3497009277344
Indonesia,IDN,1989,49.1926612854004
Indonesia,IDN,1990,46.5900917053223
Indonesia,IDN,1991,44.8151588439941
Indonesia,IDN,1992,44.0668411254883
Indonesia,IDN,1993,43.7292709350586
Indonesia,IDN,1994,44.7505798339844
Indonesia,IDN,1995,47.5789985656738
Indonesia,IDN,1996,50.3472709655762
Indonesia,IDN,1997,54.0828704833984
Indonesia,IDN,1998,54.3274307250977
Indonesia,IDN,1999,54.406608581543
Indonesia,IDN,2000,55.0771217346191
Indonesia,IDN,2001,55.5403594970703
Indonesia,IDN,2002,57.1615905761719
Indonesia,IDN,2003,60.1432189941406
Indonesia,IDN,2004,61.8672409057617
Indonesia,IDN,2005,60.1542892456055
Cambodia,KHM,1970,NA
Cambodia,KHM,1971,8.41411972045898
Cambodia,KHM,1972,9.75494956970215
Cambodia,KHM,1973,NA
Cambodia,KHM,1974,NA
Cambodia,KHM,1975,NA
Cambodia,KHM,1976,NA
Cambodia,KHM,1977,NA
Cambodia,KHM,1978,NA
Cambodia,KHM,1979,NA
Cambodia,KHM,1980,NA
Cambodia,KHM,1981,NA
Cambodia,KHM,1982,NA
Cambodia,KHM,1983,NA
Cambodia,KHM,1984,NA
Cambodia,KHM,1985,NA
Cambodia,KHM,1986,NA
Cambodia,KHM,1987,NA
Cambodia,KHM,1988,NA
Cambodia,KHM,1989,NA
Cambodia,KHM,1990,NA
Cambodia,KHM,1991,27.1973304748535
Cambodia,KHM,1992,NA
Cambodia,KHM,1993,NA
Cambodia,KHM,1994,NA
Cambodia,KHM,1995,NA
Cambodia,KHM,1996,NA
Cambodia,KHM,1997,NA
Cambodia,KHM,1998,18.003490447998
Cambodia,KHM,1999,16.5975093841553
Cambodia,KHM,2000,17.2854499816895
Cambodia,KHM,2001,18.9289493560791
Cambodia,KHM,2002,22.9268207550049
Cambodia,KHM,2003,27.5021095275879
Cambodia,KHM,2004,31.3207492828369
Cambodia,KHM,2005,NA
Lao PDR,LAO,1970,NA
Lao PDR,LAO,1971,3.69759011268616
Lao PDR,LAO,1972,4.23678016662598
Lao PDR,LAO,1973,4.77203989028931
Lao PDR,LAO,1974,NA
Lao PDR,LAO,1975,NA
Lao PDR,LAO,1976,NA
Lao PDR,LAO,1977,11.5435800552368
Lao PDR,LAO,1978,14.9293603897095
Lao PDR,LAO,1979,17.6322803497314
Lao PDR,LAO,1980,18.4017200469971
Lao PDR,LAO,1981,19.5845909118652
Lao PDR,LAO,1982,NA
Lao PDR,LAO,1983,NA
Lao PDR,LAO,1984,20.9019908905029
Lao PDR,LAO,1985,21.294059753418
Lao PDR,LAO,1986,21.1340198516846
Lao PDR,LAO,1987,NA
Lao PDR,LAO,1988,23.9096908569336
Lao PDR,LAO,1989,NA
Lao PDR,LAO,1990,23.1649208068848
Lao PDR,LAO,1991,NA
Lao PDR,LAO,1992,20.2344093322754
Lao PDR,LAO,1993,22.0095596313477
Lao PDR,LAO,1994,23.8803100585938
Lao PDR,LAO,1995,24.5314598083496
Lao PDR,LAO,1996,24.7626495361328
Lao PDR,LAO,1997,26.7113399505615
Lao PDR,LAO,1998,29.0415496826172
Lao PDR,LAO,1999,32.0795707702637
Lao PDR,LAO,2000,34.1422004699707
Lao PDR,LAO,2001,35.9674682617188
Lao PDR,LAO,2002,38.6908798217773
Lao PDR,LAO,2003,41.421760559082
Lao PDR,LAO,2004,43.2256813049316
Lao PDR,LAO,2005,43.6390609741211
Myanmar,MMR,1970,NA
Myanmar,MMR,1971,20.1621494293213
Myanmar,MMR,1972,20.5851097106934
Myanmar,MMR,1973,21.3241806030273
Myanmar,MMR,1974,NA
Myanmar,MMR,1975,NA
Myanmar,MMR,1976,21.2540702819824
Myanmar,MMR,1977,19.9091606140137
Myanmar,MMR,1978,19.3741092681885
Myanmar,MMR,1979,20.4168491363525
Myanmar,MMR,1980,20.440710067749
Myanmar,MMR,1981,21.3484191894531
Myanmar,MMR,1982,22.8131008148193
Myanmar,MMR,1983,23.5074005126953
Myanmar,MMR,1984,23.3210697174072
Myanmar,MMR,1985,23.0520992279053
Myanmar,MMR,1986,23.2074394226074
Myanmar,MMR,1987,23.9919490814209
Myanmar,MMR,1988,23.8342800140381
Myanmar,MMR,1989,24.8945407867432
Myanmar,MMR,1990,19.530179977417
Myanmar,MMR,1991,21.666389465332
Myanmar,MMR,1992,23.5173892974854
Myanmar,MMR,1993,23.7575702667236
Myanmar,MMR,1994,24.9521503448486
Myanmar,MMR,1995,28.2695007324219
Myanmar,MMR,1996,NA
Myanmar,MMR,1997,NA
Myanmar,MMR,1998,NA
Myanmar,MMR,1999,33.1931114196777
Myanmar,MMR,2000,36.8745307922363
Myanmar,MMR,2001,37.7925109863281
Myanmar,MMR,2002,39.4820785522461
Myanmar,MMR,2003,40.1162414550781
Myanmar,MMR,2004,43.2648391723633
Myanmar,MMR,2005,44.3373489379883
Malaysia,MYS,1970,39.2316398620605
Malaysia,MYS,1971,41.1792602539063
Malaysia,MYS,1972,43.0068206787109
Malaysia,MYS,1973,NA
Malaysia,MYS,1974,49.4510307312012
Malaysia,MYS,1975,52.3071098327637
Malaysia,MYS,1976,52.8115882873535
Malaysia,MYS,1977,52.0540199279785
Malaysia,MYS,1978,53.4829483032227
Malaysia,MYS,1979,54.6743698120117
Malaysia,MYS,1980,54.7562294006348
Malaysia,MYS,1981,57.1901702880859
Malaysia,MYS,1982,57.3295097351074
Malaysia,MYS,1983,60.7888107299805
Malaysia,MYS,1984,62.9724388122559
Malaysia,MYS,1985,63.1813087463379
Malaysia,MYS,1986,66.2517013549805
Malaysia,MYS,1987,68.0646286010742
Malaysia,MYS,1988,66.3335494995117
Malaysia,MYS,1989,65.3924102783203
Malaysia,MYS,1990,63.4149894714355
Malaysia,MYS,1991,64.5256423950195
Malaysia,MYS,1992,65.6116333007813
Malaysia,MYS,1993,64.5334167480469
Malaysia,MYS,1994,64.7785415649414
Malaysia,MYS,1995,64.8216171264648
Malaysia,MYS,1996,66.4293518066406
Malaysia,MYS,1997,67.0067901611328
Malaysia,MYS,1998,78.6279220581055
Malaysia,MYS,1999,77.8520126342773
Malaysia,MYS,2000,77.4147415161133
Malaysia,MYS,2001,76.8985977172852
Malaysia,MYS,2002,77.0174865722656
Malaysia,MYS,2003,82.9039001464844
Malaysia,MYS,2004,84.1285095214844
Malaysia,MYS,2005,80.6602401733398
Philippines,PHL,1970,NA
Philippines,PHL,1971,47.501091003418
Philippines,PHL,1972,48.838508605957
Philippines,PHL,1973,49.792179107666
Philippines,PHL,1974,50.7869186401367
Philippines,PHL,1975,53.4088287353516
Philippines,PHL,1976,56.4364585876465
Philippines,PHL,1977,60.278938293457
Philippines,PHL,1978,63.2995910644531
Philippines,PHL,1979,64.7390975952148
Philippines,PHL,1980,65.5143280029297
Philippines,PHL,1981,64.3163299560547
Philippines,PHL,1982,63.1673698425293
Philippines,PHL,1983,65.1484375
Philippines,PHL,1984,66.1097717285156
Philippines,PHL,1985,67.1578598022461
Philippines,PHL,1986,63.6484985351563
Philippines,PHL,1987,66.4163513183594
Philippines,PHL,1988,66.4516067504883
Philippines,PHL,1989,69.5247497558594
Philippines,PHL,1990,72.0137710571289
Philippines,PHL,1991,71.5706787109375
Philippines,PHL,1992,73.0001678466797
Philippines,PHL,1993,74.9715423583984
Philippines,PHL,1994,76.0899810791016
Philippines,PHL,1995,77.4069595336914
Philippines,PHL,1996,76.3930282592773
Philippines,PHL,1997,76.102180480957
Philippines,PHL,1998,74.7387390136719
Philippines,PHL,1999,74.4006729125977
Philippines,PHL,2000,NA
Philippines,PHL,2001,74.7300109863281
Philippines,PHL,2002,79.1892395019531
Philippines,PHL,2003,81.2806167602539
Philippines,PHL,2004,83.3308334350586
Philippines,PHL,2005,82.9036026000977
Singapore,SGP,1970,NA
Singapore,SGP,1971,NA
Singapore,SGP,1972,NA
Singapore,SGP,1973,NA
Singapore,SGP,1974,NA
Singapore,SGP,1975,NA
Singapore,SGP,1976,NA
Singapore,SGP,1977,NA
Singapore,SGP,1978,NA
Singapore,SGP,1979,NA
Singapore,SGP,1980,NA
Singapore,SGP,1981,NA
Singapore,SGP,1982,NA
Singapore,SGP,1983,NA
Singapore,SGP,1984,NA
Singapore,SGP,1985,NA
Singapore,SGP,1986,NA
Singapore,SGP,1987,NA
Singapore,SGP,1988,NA
Singapore,SGP,1989,NA
Singapore,SGP,1990,NA
Singapore,SGP,1991,NA
Singapore,SGP,1992,NA
Singapore,SGP,1993,NA
Singapore,SGP,1994,NA
Singapore,SGP,1995,NA
Singapore,SGP,1996,NA
Singapore,SGP,1997,NA
Singapore,SGP,1998,NA
Singapore,SGP,1999,NA
Singapore,SGP,2000,NA
Singapore,SGP,2001,NA
Singapore,SGP,2002,NA
Singapore,SGP,2003,NA
Singapore,SGP,2004,NA
Singapore,SGP,2005,NA
Thailand,THA,1970,NA
Thailand,THA,1971,18.1250400543213
Thailand,THA,1972,19.2917499542236
Thailand,THA,1973,20.7710399627686
Thailand,THA,1974,22.5245208740234
Thailand,THA,1975,23.5262699127197
Thailand,THA,1976,25.4201793670654
Thailand,THA,1977,27.2728290557861
Thailand,THA,1978,27.6752395629883
Thailand,THA,1979,27.5774192810059
Thailand,THA,1980,27.7804298400879
Thailand,THA,1981,28.6206703186035
