year_id,location_name,event,cat_ce
2010,Philippines, Mt. Bulusan Volcano ,High
2010,Philippines, Floods and Landslides ,High
2010,Indonesia, Sumatra Earthquakes and Tsunami ,High
2010,Indonesia, Mt. Merapi Volcano ,High
2010,Myanmar, Tropical Cyclone Giri ,Medium
2010,Indonesia, Mt. Sinabung Volcano ,High
2010,Malaysia, Floods ,Low
2010,Philippines, Tropical Storm Dianmu ,High
2010,Thailand, Floods ,Medium
2010,Myanmar, Floods and Landslides ,Medium
2010,Indonesia, Papua ,High
2010,Philippines, Floods and Landslides ,High
2010,Indonesia, Floods ,High
2010,Indonesia, Earthquakes ,High
2010,Philippines, Landslide ,High
2009,Philippines, Mayon Volcano ,High
2009,Malaysia, Floods ,Low
2009,Indonesia, Floods and Landslides ,High
2009,Thailand, Floods ,Medium
2009,Philippines, Floods and Landslides ,High
2009,Philippines, Typhoon Lupit ,High
2009,Indonesia, Sumatra Earthquake ,High
2009,Myanmar, Earthquake ,Medium
2009,Philippines, Flash Floods ,High
2009,Philippines, Earthquake ,High
2009,Indonesia, Flash Floods ,High
2009,Indonesia, Earthquake ,High
2009,Philippines, Tropical Cyclone Molave ,High
2009,Philippines, Tropical Storm Soudelor ,High
2009,Myanmar, Floods and Landslides ,Medium
2009,Philippines, Tropical Storm Feria ,High
2009,Thailand, Floods and Flash Floods ,Medium
2009,Philippines, Floods and Landslides ,High
2009,Philippines, Typhoon Chan,High
2009,Philippines, Typhoon Dante (Kujira) ,High
2009,Indonesia, Flash Floods ,High
2009,Indonesia, Earthquake in North Sulawesi ,High
2009,Thailand, Drought ,Medium
2009,Philippines, Floods and Landslides ,High
2009,Indonesia, Earthquake ,High
2009,Philippines, Tropical Depression Auring ,High
2008,Philippines, Landslides ,High
2008,Thailand, Floods ,Medium
2008,Thailand, Cold Wave ,Medium
2008,Malaysia, Floods and Landslides ,Low
2008,Philippines, Flash Floods ,High
2008,Indonesia, Earthquake ,High
2008,Indonesia, Landslide ,High
2008,Indonesia, Floods ,High
2008,Philippines, Floods and Landslides ,High
2008,Philippines, Ferry Disaster/Toxic Cargo ,High
2008,Philippines, Flash Floods ,High
2008,Philippines, Tropical Cyclone Halong ,High
2008,Philippines, Flash Floods ,High
2008,Myanmar, Tropical Cyclone Nargis ,Medium
2008,Indonesia, Earthquake ,High
2008,Philippines, Floods and Landslides ,High
2007,Indonesia, Floods and Landslides ,High
2007,Malaysia, Floods ,Low
2007,Indonesia, Sumbawa Earthquake ,High
2007,Philippines, Floods and Landslides ,High
2007,Thailand, Floods ,Medium
2007,Indonesia, Mt. Kelud Volcano ,High
2007,Philippines, Mudslide ,High
2007,Indonesia, Earthquake ,High
2007,Indonesia, Volcano Karangetang ,High
2007,Philippines, Floods and Landslides ,High
2007,Indonesia, Floods and Landslides ,High
2007,Indonesia, Volcanic Eruption Mt. Gamkonora ,High
2007,Indonesia, Earthquake ,High
2007,Indonesia, Landslides ,High
2007,Indonesia, Floods ,High
2007,Indonesia, Northern Molucca Sea Earthquake ,High
2007,Philippines, Floods and Landslides ,High
2006,Indonesia, Floods ,High
2006,Malaysia, Floods ,Low
2006,Indonesia, Aceh Earthquake ,High
2006,Indonesia, North and West Sumatra Earthquake ,High
2006,Indonesia, Landslide ,High
2006,Philippines, Typhoon Utor ,High
2006,Indonesia, Sidoarjo mudflow and gas pipe explosion ,High
2006,Cambodia, Floods ,Low
2006,Philippines, Guimaras Oil Spill – Aug 2006,High
2006,Thailand, Floods ,Medium
2006,Indonesia, Fires and Haze ,High
2006,Philippines, Mount Mayon Volcano ,High
2006,Indonesia, West Java Earthquake and Tsunami ,High
2006,Indonesia, Flash Floods and Landslides ,High
2006,Indonesia, Earthquake ,High
2006,Thailand, Floods ,Medium
2006,Myanmar, Cyclone Mala ,Medium
2006,Indonesia, Flash Floods and Landslides ,High
2006,Indonesia, Mt. Merapi Volcano ,High
2006,Indonesia, Earthquake ,High
2006,Indonesia, Floods and Landslides ,High
